FCID,ABAM_COV,ABGRC_COV,ABPRSH_COV,ACMA3_COV,ALRH2_COV,ALRU2_COV,CADE27_COV,CHCH7_COV,CHLA_COV,LIDE3_COV,NOTALY_COV,PIBR_COV,PICO_COV,PIJE_COV,PILA_COV,PIPO_COV,PISI_COV,PSME_COV,QUCH2_COV,QUGA4_COV,QUKE_COV,TABR2_COV,THPL_COV,TSHE_COV,UMCA_COV
52622,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7633,0.0,0.0,0.0,0.0,0.0,46.2056,0.0
52623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,60.0,0.0,0.0,0.0,0.0,9.5163,7.0,0.0,18.1269,30.0,0.0,0.0,0.0,0.0,0.0,0.0
52624,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,2.0,13.9292,0.0,52.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7633,60.0,0.0,0.0,1.0,0.0,0.0,0.0
52626,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3951,0.0,0.0,11.0,0.0,0.0,0.0,0.0
52627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52628,0.0,20.0,0.0,60.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7633,10.0,0.0,0.0,0.0,0.0,0.0,0.0
52629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.968,15.0,0.0,69.8806,0.0,0.0,10.0,0.0,0.0,0.0,0.0
52630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.635,0.0,0.0,65.0062,0.0,0.0,25.0,0.0,0.0,0.0,0.0
52631,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7752,0.0,0.0,25.0,0.0,0.0,0.0,0.0
52632,0.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7129,0.0,0.0,0.0,10.0,0.0,0.0,0.0
52661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4216,15.0,0.0,0.0,2.0,0.0,0.0,0.0
52662,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.3415,8.0,0.0,0.0,0.0,0.0,0.0,0.0
52663,0.0,20.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.968,1.0,0.0,0.0,15.0,0.0,10.0,0.0
52664,0.0,51.8091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5479,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.1269,80.0,0.0,0.0,1.0,0.0,0.0,0.0
52666,0.0,0.0,0.0,0.0,0.0,0.0,10.4166,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1594,3.0,0.0,0.0,0.0,0.0,0.0,0.0
52667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,53.6987,0.0,0.0,3.0,0.0,0.0,0.0,0.0
52668,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8235,0.0,57.2585,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52669,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52670,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7633,7.0,0.0,0.0,1.0,0.0,0.0,0.0
52672,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,6.0,0.0,0.0,0.0,0.0,0.0,0.0
52673,0.0,0.0,0.0,2.0,0.0,0.0,9.5163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,58.1048,10.0,0.0,0.0,1.0,0.0,0.0,0.0
52674,0.0,0.0,0.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52675,0.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3259,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52676,0.0,28.823,0.0,8.0,0.0,0.0,9.5163,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1199,0.0,0.0,0.0,2.0,0.0,0.0,0.0
52677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,58.1048,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52678,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2585,7.0,0.0,0.0,4.0,0.0,0.0,0.0
52679,0.0,0.0,0.0,1.0,0.0,0.0,29.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.1188,6.0,0.0,0.0,0.0,0.0,0.0,0.0
52680,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2585,15.0,0.0,0.0,1.0,0.0,0.0,0.0
52681,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3415,3.0,0.0,0.0,0.0,0.0,0.0,0.0
52682,0.0,20.0,0.0,20.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,32.968,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52683,0.0,8.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,5.0,0.0,0.0,0.0,0.0,0.0,0.0
52684,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,3.0,0.0,0.0,0.0,0.0,0.0,0.0
52685,0.0,0.0,0.0,0.0,0.0,0.0,10.4166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,47.7954,18.0,0.0,2.0,0.0,0.0,0.0,0.0
